model,labels,mean_roc_auc,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_auprc,mean_cross_entropy,mean_brier,fit_seconds_total,predict_seconds_total
curriculum,real,0.7533360902248063,0.7962781093922472,0.48391456704424995,0.39382322512671475,0.3857494912065091,0.751252871874282,0.6163164526888297,0.43386499549721097,0.13920235320993954,353.80689003143925,
plain,real,0.7266750256230707,0.7920517986113609,0.514788949517489,0.4140752897421036,0.3930922945626513,0.7082942806098074,0.610467556829623,0.4347700541385292,0.1393151297380289,353.29522772773635,
mixed,real,0.7177385716330829,0.7928577199978558,0.42494009516853987,0.40246320906968147,0.3829864987305908,0.7250472452546578,0.5951275006195019,0.4400824886413253,0.1411399610541176,354.09824313165154,
