dataset,task_id,classes,predictors,fold,model,roc_auc,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds,predict_seconds,inputs,labels,contamination,context_contaminated_rows,query_contaminated_rows,train_rows,test_rows
Amazon_employee_access,363613,2,9,0,plain,0.4159110535405872,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9313180177402002,0.2275069077285257,0.05584495765844429,94.2002442002442,94.14634146341463,0.7376089029712602,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,0,mixed,0.404522884283247,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9312455298404918,0.22851160850419983,0.05595983443034912,94.2002442002442,94.14634146341463,0.3580547890160233,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,0,curriculum,0.3946459412780656,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9319011984683919,0.22843975316768989,0.05598256932362371,94.2002442002442,94.14634146341463,0.35755862295627594,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,1,plain,0.4323186528497409,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9358383636125647,0.22722152487236058,0.055784976664829816,94.2002442002442,94.14634146341463,0.32188106107059866,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,1,mixed,0.38363557858376507,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9206139478551333,0.22764550445199946,0.055798265387008876,94.2002442002442,94.14634146341463,0.3204420719994232,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,1,curriculum,0.5429620034542314,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9542220198889357,0.22637760888254282,0.05563530537444157,94.2002442002442,94.14634146341463,0.31997837498784065,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,2,plain,0.3887089810017271,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9290208441497406,0.2265980900980232,0.05565313927891775,94.2002442002442,94.14634146341463,0.3197612150106579,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,2,mixed,0.38806131260794474,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.9189226527478923,0.2270189272440319,0.055683724329615415,94.2002442002442,94.14634146341463,0.3210127289639786,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,2,curriculum,0.4485103626943005,0.9414634146341463,0.9414634146341463,1.0,0.9698492462311558,0.0,0.939300783157915,0.22592788925035256,0.05553684699739732,94.2002442002442,94.14634146341463,0.32029900699853897,,preprocessed,real,0.0,0,0,1638,410
Amazon_employee_access,363613,2,9,3,plain,0.4492002703311557,0.9437652811735942,0.9437652811735942,1.0,0.9710691823899371,0.0,0.9414121337917648,0.2211492328931213,0.053797313780583285,94.14276998169616,94.37652811735941,0.32505044795107096,,preprocessed,real,0.0,0,0,1639,409
Amazon_employee_access,363613,2,9,3,mixed,0.4514530299617031,0.9437652811735942,0.9437652811735942,1.0,0.9710691823899371,0.0,0.9322965640626303,0.22188402227250267,0.053851831646053026,94.14276998169616,94.37652811735941,0.3237252769758925,,preprocessed,real,0.0,0,0,1639,409
Amazon_employee_access,363613,2,9,3,curriculum,0.5006758278891642,0.9437652811735942,0.9437652811735942,1.0,0.9710691823899371,0.0,0.9421492602180117,0.2207437131316219,0.05370597016905121,94.14276998169616,94.37652811735941,0.3247761740349233,,preprocessed,real,0.0,0,0,1639,409
Amazon_employee_access,363613,2,9,4,plain,0.3807359307359307,0.941320293398533,0.941320293398533,1.0,0.9697732997481109,0.0,0.9219987772850082,0.2262646355161869,0.05559404775715138,94.20378279438683,94.13202933985329,0.32512186793610454,,preprocessed,real,0.0,0,0,1639,409
Amazon_employee_access,363613,2,9,4,mixed,0.4149350649350649,0.941320293398533,0.941320293398533,1.0,0.9697732997481109,0.0,0.9198047673814922,0.22718284685163398,0.05575801820435542,94.20378279438683,94.13202933985329,0.32519560994114727,,preprocessed,real,0.0,0,0,1639,409
