source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank
synthetic,ambiguous[0],0,0.0,0.001245548715814948,0.0012437331024557352,1.1919775009155273
synthetic,ambiguous[0],1,0.2,0.0026997067034244537,0.0026871643494814634,1.7017879486083984
synthetic,ambiguous[0],2,0.4,0.0029590087942779064,0.0030165906064212322,2.076711893081665
synthetic,ambiguous[0],3,0.6,0.01710783690214157,0.01728154346346855,4.18961763381958
synthetic,ambiguous[0],4,0.8,0.02719011902809143,0.027846671640872955,2.788677215576172
synthetic,ambiguous[0],5,1.0,0.0899503231048584,0.08602305501699448,2.0314323902130127
synthetic,ambiguous[1],0,0.0,0.0013430616818368435,0.001344503602012992,1.9223874807357788
synthetic,ambiguous[1],1,0.2,0.001210133545100689,0.0012063132598996162,2.2101173400878906
synthetic,ambiguous[1],2,0.4,0.0015578328166157007,0.0015857794787734747,3.163400650024414
synthetic,ambiguous[1],3,0.6,0.010409188456833363,0.010487660765647888,4.015613079071045
synthetic,ambiguous[1],4,0.8,0.029427481815218925,0.030048951506614685,2.434286594390869
synthetic,ambiguous[1],5,1.0,0.08469822257757187,0.08103029429912567,2.4565465450286865
synthetic,ambiguous[2],0,0.0,0.0013626603176817298,0.001360634109005332,1.5714964866638184
synthetic,ambiguous[2],1,0.2,0.0019693351350724697,0.001961655914783478,1.5815991163253784
synthetic,ambiguous[2],2,0.4,0.00227375328540802,0.002314299810677767,2.6946067810058594
synthetic,ambiguous[2],3,0.6,0.01299942284822464,0.013100601732730865,4.9025468826293945
synthetic,ambiguous[2],4,0.8,0.021887650713324547,0.022376667708158493,3.350618362426758
synthetic,ambiguous[2],5,1.0,0.06466662883758545,0.06196890398859978,2.5031895637512207
synthetic,ambiguous[3],0,0.0,0.0020137287210673094,0.002009984105825424,1.3173400163650513
synthetic,ambiguous[3],1,0.2,0.003530569840222597,0.003515094518661499,1.4787683486938477
synthetic,ambiguous[3],2,0.4,0.004087171517312527,0.00416254997253418,1.7616891860961914
synthetic,ambiguous[3],3,0.6,0.021303337067365646,0.0215016957372427,4.04360818862915
synthetic,ambiguous[3],4,0.8,0.02978249453008175,0.030514826998114586,2.78340482711792
synthetic,ambiguous[3],5,1.0,0.07776437699794769,0.07458272576332092,2.0551748275756836
synthetic,ambiguous[4],0,0.0,0.0004088421701453626,0.0004100808873772621,1.8523592948913574
synthetic,ambiguous[4],1,0.2,0.0004915659665130079,0.0004903203807771206,3.1988284587860107
synthetic,ambiguous[4],2,0.4,0.0006600141059607267,0.0006715042400173843,3.6838388442993164
synthetic,ambiguous[4],3,0.6,0.007372630760073662,0.007418881636112928,3.129080295562744
synthetic,ambiguous[4],4,0.8,0.027608364820480347,0.02816077321767807,1.9749476909637451
synthetic,ambiguous[4],5,1.0,0.08180622011423111,0.07838829606771469,2.0088729858398438
synthetic,ambiguous[5],0,0.0,0.0017643275205045938,0.0017627791967242956,1.181195616722107
synthetic,ambiguous[5],1,0.2,0.003099407535046339,0.0030864961445331573,1.7960097789764404
