mode,parameters,best_step,train_loss,in_family.loss,in_family.mutual_information_r2,in_family.epistemic_variance_r2,in_family.mutual_information_spearman,in_family.condition_auc,held_out_family.loss,held_out_family.mutual_information_r2,held_out_family.epistemic_variance_r2,held_out_family.mutual_information_spearman,held_out_family.condition_auc
deepsets,165858,600,0.003619308350607753,0.006029769312590361,0.2625221610069275,0.21490001678466797,0.31406023590129645,0.6623611111111112,0.014674799516797066,0.011625051498413086,-0.018804550170898438,-0.011512456234767888,0.4229861111111111
cross_attention,258338,250,0.0007910113781690598,0.0058071003295481205,0.3371162414550781,-0.12262582778930664,0.2743858133919448,0.6211805555555555,0.015529276803135872,-0.031305909156799316,-0.1858069896697998,-0.06543116670614912,0.35215277777777776
cross_attention_local,259638,400,0.0004394307325128466,0.005560778081417084,0.3241090178489685,0.2432573437690735,0.28710307359821796,0.5936805555555555,0.015062711201608181,-0.01724982261657715,-0.02549421787261963,-0.028597501117272967,0.36680555555555555
