source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank
synthetic,ambiguous[0],0,0.0,0.001245548715814948,0.0012437331024557352,1.1919785737991333
synthetic,ambiguous[0],1,0.2,0.0026997067034244537,0.0026871641166508198,1.7017892599105835
synthetic,ambiguous[0],2,0.4,0.0029590087942779064,0.0030165899079293013,2.076711416244507
synthetic,ambiguous[0],3,0.6,0.017107829451560974,0.017281536012887955,4.189627647399902
synthetic,ambiguous[0],4,0.8,0.027190109714865685,0.02784666232764721,2.7886719703674316
synthetic,ambiguous[0],5,1.0,0.08995034545660019,0.08602307736873627,2.03143048286438
synthetic,ambiguous[1],0,0.0,0.0013430616818368435,0.001344503602012992,1.9223865270614624
synthetic,ambiguous[1],1,0.2,0.0012101340107619762,0.00120631349273026,2.2101166248321533
synthetic,ambiguous[1],2,0.4,0.0015578328166157007,0.001585779245942831,3.163407325744629
synthetic,ambiguous[1],3,0.6,0.010409187525510788,0.010487659834325314,4.0156049728393555
synthetic,ambiguous[1],4,0.8,0.029427476227283478,0.030048947781324387,2.4342896938323975
synthetic,ambiguous[1],5,1.0,0.08469822257757187,0.08103028684854507,2.456542491912842
synthetic,ambiguous[2],0,0.0,0.0013626603176817298,0.001360634109005332,1.5714963674545288
synthetic,ambiguous[2],1,0.2,0.0019693351350724697,0.0019616561476141214,1.5816001892089844
synthetic,ambiguous[2],2,0.4,0.00227375328540802,0.0023143000435084105,2.6946065425872803
synthetic,ambiguous[2],3,0.6,0.012999426573514938,0.01310060452669859,4.902545928955078
synthetic,ambiguous[2],4,0.8,0.021887650713324547,0.022376667708158493,3.3506267070770264
synthetic,ambiguous[2],5,1.0,0.06466662883758545,0.061968907713890076,2.503185272216797
synthetic,ambiguous[3],0,0.0,0.0020137287210673094,0.002009984105825424,1.317339539527893
synthetic,ambiguous[3],1,0.2,0.0035305703058838844,0.00351509521715343,1.478764533996582
synthetic,ambiguous[3],2,0.4,0.004087171517312527,0.004162550438195467,1.7616899013519287
synthetic,ambiguous[3],3,0.6,0.0213033314794302,0.02150169387459755,4.043612957000732
synthetic,ambiguous[3],4,0.8,0.029782479628920555,0.030514812096953392,2.78340220451355
synthetic,ambiguous[3],5,1.0,0.0777643620967865,0.07458271086215973,2.055177688598633
synthetic,ambiguous[4],0,0.0,0.00040884222835302353,0.0004100809746887535,1.8523595333099365
synthetic,ambiguous[4],1,0.2,0.000491565908305347,0.0004903203225694597,3.198826551437378
synthetic,ambiguous[4],2,0.4,0.0006600140477530658,0.0006715042400173843,3.683837890625
synthetic,ambiguous[4],3,0.6,0.0073726302944123745,0.007418881170451641,3.129077911376953
synthetic,ambiguous[4],4,0.8,0.02760835736989975,0.028160765767097473,1.9749468564987183
synthetic,ambiguous[4],5,1.0,0.08180616796016693,0.07838824391365051,2.008871078491211
synthetic,ambiguous[5],0,0.0,0.0017643275205045938,0.0017627791967242956,1.1811957359313965
synthetic,ambiguous[5],1,0.2,0.003099407535046339,0.00308649567887187,1.7960095405578613
synthetic,ambiguous[5],2,0.4,0.0026808343827724457,0.0027328801807016134,2.0989112854003906
synthetic,ambiguous[5],3,0.6,0.015122722834348679,0.015239673666656017,4.08258056640625
synthetic,ambiguous[5],4,0.8,0.021825935691595078,0.022315047681331635,3.244889736175537
synthetic,ambiguous[5],5,1.0,0.06465423107147217,0.061880625784397125,2.435840368270874
synthetic,ambiguous[6],0,0.0,0.0011554788798093796,0.0011536342790350318,1.2091178894042969
synthetic,ambiguous[6],1,0.2,0.002425731625407934,0.002414809074252844,1.5799654722213745
synthetic,ambiguous[6],2,0.4,0.0028474372811615467,0.0029006905388087034,1.8119935989379883
synthetic,ambiguous[6],3,0.6,0.01730373688042164,0.017480315640568733,4.175327301025391
synthetic,ambiguous[6],4,0.8,0.027591541409492493,0.02829589694738388,2.7744498252868652
synthetic,ambiguous[6],5,1.0,0.07686593383550644,0.07361631840467453,2.1459543704986572
synthetic,ambiguous[7],0,0.0,0.001473660347983241,0.0014710286632180214,1.2888294458389282
synthetic,ambiguous[7],1,0.2,0.0030953704845160246,0.003082145005464554,1.5797185897827148
synthetic,ambiguous[7],2,0.4,0.0037170860450714827,0.0037875925190746784,2.4744033813476562
synthetic,ambiguous[7],3,0.6,0.017489522695541382,0.017658043652772903,3.820624351501465
synthetic,ambiguous[7],4,0.8,0.029225897043943405,0.029993385076522827,2.378957509994507
synthetic,ambiguous[7],5,1.0,0.08472516387701035,0.08081803470849991,2.229309558868408
synthetic,ambiguous[8],0,0.0,0.001716838451102376,0.0017143809236586094,1.1295770406723022
synthetic,ambiguous[8],1,0.2,0.003628944745287299,0.003612163010984659,1.3449981212615967
synthetic,ambiguous[8],2,0.4,0.003922625444829464,0.003995868377387524,1.6460431814193726
synthetic,ambiguous[8],3,0.6,0.01842609792947769,0.018615812063217163,4.263578414916992
synthetic,ambiguous[8],4,0.8,0.028696753084659576,0.029464062303304672,2.8216700553894043
synthetic,ambiguous[8],5,1.0,0.07435527443885803,0.0710676833987236,2.2538816928863525
synthetic,ambiguous[9],0,0.0,0.0010855356231331825,0.0010851228144019842,1.435863733291626
synthetic,ambiguous[9],1,0.2,0.0016197481891140342,0.001613445347175002,1.8394031524658203
synthetic,ambiguous[9],2,0.4,0.0017606773180887103,0.0017933070193976164,3.0711867809295654
synthetic,ambiguous[9],3,0.6,0.013930345885455608,0.014040380716323853,3.9212870597839355
synthetic,ambiguous[9],4,0.8,0.027687158435583115,0.0283185001462698,2.6312458515167236
synthetic,ambiguous[9],5,1.0,0.07406903803348541,0.07086741924285889,2.2883143424987793
synthetic,ambiguous[10],0,0.0,0.0014414421748369932,0.0014390719588845968,1.3155913352966309
synthetic,ambiguous[10],1,0.2,0.0031303996220231056,0.0031162197701632977,1.648495078086853
synthetic,ambiguous[10],2,0.4,0.003261153120547533,0.003322604577988386,1.9144864082336426
synthetic,ambiguous[10],3,0.6,0.017924657091498375,0.018106937408447266,3.635619640350342
synthetic,ambiguous[10],4,0.8,0.029054900631308556,0.029799219220876694,2.5234763622283936
synthetic,ambiguous[10],5,1.0,0.07890881597995758,0.0755123421549797,2.1327168941497803
synthetic,ambiguous[11],0,0.0,0.0016774715622887015,0.0016784420004114509,1.3012309074401855
synthetic,ambiguous[11],1,0.2,0.002308477647602558,0.002299200976267457,1.6054565906524658
synthetic,ambiguous[11],2,0.4,0.0023241082672029734,0.002366868779063225,2.336103677749634
synthetic,ambiguous[11],3,0.6,0.014852197840809822,0.014982085675001144,4.741015434265137
synthetic,ambiguous[11],4,0.8,0.032870177179574966,0.03362659364938736,2.34798002243042
synthetic,ambiguous[11],5,1.0,0.08407995104789734,0.08053546398878098,2.310967445373535
synthetic,ambiguous[12],0,0.0,0.0019100242061540484,0.0019068921683356166,1.1944423913955688
synthetic,ambiguous[12],1,0.2,0.004023080226033926,0.0040063392370939255,1.5156712532043457
synthetic,ambiguous[12],2,0.4,0.004191503394395113,0.004270752891898155,1.6759198904037476
synthetic,ambiguous[12],3,0.6,0.018625769764184952,0.018803555518388748,4.2281813621521
synthetic,ambiguous[12],4,0.8,0.02689763903617859,0.027590125799179077,2.937446355819702
synthetic,ambiguous[12],5,1.0,0.08206239342689514,0.078524649143219,2.065338134765625
synthetic,ambiguous[13],0,0.0,0.0008777914335951209,0.0008765042293816805,1.2627277374267578
synthetic,ambiguous[13],1,0.2,0.0018498282879590988,0.0018416217062622309,1.8492114543914795
