source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank,support_raw_variance,support_scale_free_variance
synthetic,ambiguous[0],0,0.0,0.001245548715814948,0.0012437331024557352,1.1919785737991333,0.0006000834982842207,3.1248043796949787e-06
synthetic,ambiguous[0],1,0.2,0.0026997067034244537,0.0026871641166508198,1.7017892599105835,0.0008810318540781736,4.571753834170522e-06
synthetic,ambiguous[0],2,0.4,0.0029590087942779064,0.0030165899079293013,2.076711416244507,0.0011994631495326757,6.3509587562293746e-06
synthetic,ambiguous[0],3,0.6,0.017107829451560974,0.017281536012887955,4.189627647399902,0.011458797380328178,6.001229485264048e-05
synthetic,ambiguous[0],4,0.8,0.027190109714865685,0.02784666232764721,2.7886719703674316,0.017924197018146515,9.533060801913962e-05
synthetic,ambiguous[0],5,1.0,0.08995034545660019,0.08602307736873627,2.03143048286438,0.039645127952098846,0.00019655523647088557
synthetic,ambiguous[1],0,0.0,0.0013430616818368435,0.001344503602012992,1.9223865270614624,0.0006105080246925354,3.1844751902099233e-06
synthetic,ambiguous[1],1,0.2,0.0012101340107619762,0.00120631349273026,2.2101166248321533,0.0009263567044399679,4.810450263903476e-06
synthetic,ambiguous[1],2,0.4,0.0015578328166157007,0.001585779245942831,3.163407325744629,0.0010831658728420734,5.740306278312346e-06
synthetic,ambiguous[1],3,0.6,0.010409187525510788,0.010487659834325314,4.0156049728393555,0.007023647427558899,3.678480425151065e-05
synthetic,ambiguous[1],4,0.8,0.029427476227283478,0.030048947781324387,2.4342896938323975,0.01823517307639122,9.669432620285079e-05
synthetic,ambiguous[1],5,1.0,0.08469822257757187,0.08103028684854507,2.456542491912842,0.03473434969782829,0.0001717753621051088
synthetic,ambiguous[2],0,0.0,0.0013626603176817298,0.001360634109005332,1.5714963674545288,0.0005888973246328533,3.067607622142532e-06
synthetic,ambiguous[2],1,0.2,0.0019693351350724697,0.0019616561476141214,1.5816001892089844,0.0008638169383630157,4.484203145693755e-06
synthetic,ambiguous[2],2,0.4,0.00227375328540802,0.0023143000435084105,2.6946065425872803,0.0012806255836039782,6.781051524740178e-06
synthetic,ambiguous[2],3,0.6,0.012999426573514938,0.01310060452669859,4.902545928955078,0.009769744239747524,5.1162001909688115e-05
synthetic,ambiguous[2],4,0.8,0.021887650713324547,0.022376667708158493,3.3506267070770264,0.017649829387664795,9.380308620166034e-05
synthetic,ambiguous[2],5,1.0,0.06466662883758545,0.061968907713890076,2.503185272216797,0.035201944410800934,0.0001746851921780035
synthetic,ambiguous[3],0,0.0,0.0020137287210673094,0.002009984105825424,1.317339539527893,0.0007993783801794052,4.162418917985633e-06
synthetic,ambiguous[3],1,0.2,0.0035305703058838844,0.00351509521715343,1.478764533996582,0.001029464416205883,5.342481472325744e-06
synthetic,ambiguous[3],2,0.4,0.004087171517312527,0.004162550438195467,1.7616899013519287,0.0013501287903636694,7.148015356506221e-06
synthetic,ambiguous[3],3,0.6,0.0213033314794302,0.02150169387459755,4.043612957000732,0.012033878825604916,6.298337393673137e-05
synthetic,ambiguous[3],4,0.8,0.029782479628920555,0.030514812096953392,2.78340220451355,0.017288796603679657,9.198886255035177e-05
